Start Training...
========== Hyperparameters ==========
Batch size: 256
Epochs: 20
Optimizer: adam
Learning Rate: 0.001
Number of Parameters: 295770
Number of Trainable Parameters: 295770
=====================================
>>>>> EPOCH 0: validation loss: 2.39, validation accuracy: 9.19%, validation f1: 0.0311 <<<<<
EPOCH 1/20
(108.45s) [29952/40000] loss: 1.2925, acc: 53.9062%, f1: 0.5209
(109.23s) [30208/40000] loss: 1.2447, acc: 56.25%, f1: 0.5537
(110.02s) [30464/40000] loss: 1.2102, acc: 55.8594%, f1: 0.5412
(110.83s) [30720/40000] loss: 1.3311, acc: 49.6094%, f1: 0.4759
(111.63s) [30976/40000] loss: 1.2629, acc: 55.0781%, f1: 0.525
(112.42s) [31232/40000] loss: 1.3059, acc: 54.2969%, f1: 0.5312
(113.22s) [31488/40000] loss: 1.3755, acc: 47.6562%, f1: 0.4626
(114.0s) [31744/40000] loss: 1.373, acc: 46.875%, f1: 0.4682
(114.79s) [32000/40000] loss: 1.2369, acc: 51.1719%, f1: 0.4954
(115.59s) [32256/40000] loss: 1.2159, acc: 55.0781%, f1: 0.5467
(116.37s) [32512/40000] loss: 1.2418, acc: 57.0312%, f1: 0.5644
(117.18s) [32768/40000] loss: 1.3243, acc: 54.6875%, f1: 0.5334
(117.96s) [33024/40000] loss: 1.3029, acc: 50.7812%, f1: 0.5062
(118.74s) [33280/40000] loss: 1.28, acc: 51.5625%, f1: 0.4911
(119.55s) [33536/40000] loss: 1.3648, acc: 55.4688%, f1: 0.5509
(120.31s) [33792/40000] loss: 1.1914, acc: 53.9062%, f1: 0.5073
(121.11s) [34048/40000] loss: 1.1798, acc: 57.8125%, f1: 0.5607
(121.89s) [34304/40000] loss: 1.3042, acc: 53.125%, f1: 0.5262
(122.68s) [34560/40000] loss: 1.1483, acc: 58.9844%, f1: 0.5856
(123.47s) [34816/40000] loss: 1.2611, acc: 55.0781%, f1: 0.5496
(124.27s) [35072/40000] loss: 1.3227, acc: 52.3438%, f1: 0.5229
(125.05s) [35328/40000] loss: 1.2724, acc: 55.8594%, f1: 0.5438
(125.82s) [35584/40000] loss: 1.3375, acc: 50.0%, f1: 0.4968
(126.61s) [35840/40000] loss: 1.2381, acc: 53.9062%, f1: 0.5334
(127.41s) [36096/40000] loss: 1.2822, acc: 50.3906%, f1: 0.4873
(128.2s) [36352/40000] loss: 1.429, acc: 50.0%, f1: 0.4929
(129.01s) [36608/40000] loss: 1.197, acc: 55.8594%, f1: 0.5453
(129.8s) [36864/40000] loss: 1.2517, acc: 55.4688%, f1: 0.5418
(130.61s) [37120/40000] loss: 1.311, acc: 51.9531%, f1: 0.5231
(131.42s) [37376/40000] loss: 1.1146, acc: 60.1562%, f1: 0.5772
(132.2s) [37632/40000] loss: 1.2154, acc: 56.6406%, f1: 0.5658
(133.0s) [37888/40000] loss: 1.157, acc: 61.7188%, f1: 0.6111
(133.79s) [38144/40000] loss: 1.2136, acc: 52.7344%, f1: 0.5347
(134.59s) [38400/40000] loss: 1.2846, acc: 53.5156%, f1: 0.5314
(135.38s) [38656/40000] loss: 1.1308, acc: 58.2031%, f1: 0.5684
(136.18s) [38912/40000] loss: 1.2224, acc: 53.125%, f1: 0.5141
(136.98s) [39168/40000] loss: 1.2687, acc: 55.0781%, f1: 0.544
(137.76s) [39424/40000] loss: 1.3244, acc: 51.9531%, f1: 0.5183
(138.57s) [39680/40000] loss: 1.2348, acc: 58.5938%, f1: 0.5689
(139.37s) [39936/40000] loss: 1.2708, acc: 55.8594%, f1: 0.5402
(139.58s) [10048/40000] loss: 1.1441, acc: 59.375%, f1: 0.5918
>>>>> EPOCH 1: validation loss: 1.178, validation accuracy: 57.34%, validation f1: 0.5674 <<<<<
EPOCH 2/20
(157.23s) [256/40000] loss: 1.1752, acc: 58.2031%, f1: 0.5608
(158.0s) [512/40000] loss: 1.1515, acc: 54.6875%, f1: 0.5372
(158.78s) [768/40000] loss: 1.2146, acc: 54.6875%, f1: 0.544
(159.53s) [1024/40000] loss: 1.2405, acc: 56.25%, f1: 0.5586
(160.3s) [1280/40000] loss: 1.2263, acc: 55.4688%, f1: 0.5483
(161.05s) [1536/40000] loss: 1.1369, acc: 60.1562%, f1: 0.5947
(161.81s) [1792/40000] loss: 1.0972, acc: 61.7188%, f1: 0.6073
(162.61s) [2048/40000] loss: 1.1958, acc: 53.125%, f1: 0.5274
(163.41s) [2304/40000] loss: 1.1642, acc: 55.0781%, f1: 0.5533
(164.21s) [2560/40000] loss: 1.1558, acc: 59.7656%, f1: 0.5949
(165.01s) [2816/40000] loss: 1.1452, acc: 57.4219%, f1: 0.5742
(165.81s) [3072/40000] loss: 1.2809, acc: 55.4688%, f1: 0.5608
(166.6s) [3328/40000] loss: 1.1837, acc: 57.4219%, f1: 0.5519
(167.39s) [3584/40000] loss: 1.1263, acc: 55.8594%, f1: 0.5442
(168.19s) [3840/40000] loss: 1.1794, acc: 60.5469%, f1: 0.6042
(169.0s) [4096/40000] loss: 1.1366, acc: 57.0312%, f1: 0.5521
(169.79s) [4352/40000] loss: 1.1011, acc: 59.7656%, f1: 0.5873
(170.6s) [4608/40000] loss: 1.0949, acc: 63.2812%, f1: 0.6221
(171.4s) [4864/40000] loss: 1.0735, acc: 60.9375%, f1: 0.5942
(172.22s) [5120/40000] loss: 1.0447, acc: 59.375%, f1: 0.5941
(173.03s) [5376/40000] loss: 1.1596, acc: 58.9844%, f1: 0.5833
(173.83s) [5632/40000] loss: 1.077, acc: 63.2812%, f1: 0.6291
(174.62s) [5888/40000] loss: 1.1554, acc: 58.2031%, f1: 0.5782
(175.42s) [6144/40000] loss: 1.1885, acc: 57.4219%, f1: 0.5742
(176.22s) [6400/40000] loss: 1.1388, acc: 57.8125%, f1: 0.569
(177.01s) [6656/40000] loss: 1.1545, acc: 58.9844%, f1: 0.5939
(177.81s) [6912/40000] loss: 1.1077, acc: 58.2031%, f1: 0.5656
(178.61s) [7168/40000] loss: 1.1834, acc: 59.375%, f1: 0.5908
(179.39s) [7424/40000] loss: 1.125, acc: 60.1562%, f1: 0.599
(180.16s) [7680/40000] loss: 1.2137, acc: 52.3438%, f1: 0.535
(180.94s) [7936/40000] loss: 1.2704, acc: 55.0781%, f1: 0.5465
(181.73s) [8192/40000] loss: 1.222, acc: 53.5156%, f1: 0.5257
(182.5s) [8448/40000] loss: 1.2567, acc: 54.6875%, f1: 0.5391
(183.3s) [8704/40000] loss: 1.009, acc: 62.8906%, f1: 0.6188
(184.09s) [8960/40000] loss: 1.1196, acc: 61.3281%, f1: 0.609
(184.87s) [9216/40000] loss: 1.0704, acc: 61.7188%, f1: 0.5985
(185.67s) [9472/40000] loss: 1.1094, acc: 60.5469%, f1: 0.5931
(186.47s) [9728/40000] loss: 1.1408, acc: 56.25%, f1: 0.5642
(187.25s) [9984/40000] loss: 1.16, acc: 57.8125%, f1: 0.5769
(188.03s) [10240/40000] loss: 1.1207, acc: 58.5938%, f1: 0.5835
(188.83s) [10496/40000] loss: 1.1434, acc: 57.4219%, f1: 0.5715
(189.61s) [10752/40000] loss: 1.0839, acc: 62.1094%, f1: 0.6049
(190.41s) [11008/40000] loss: 1.1992, acc: 58.5938%, f1: 0.5853
(191.21s) [11264/40000] loss: 1.0731, acc: 58.5938%, f1: 0.5633
